sample_id,cell_type,firre_ko,firre_induced,timepoint,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2426,ESC,KO,firre_induced,240,1,1,short,2019-03,JR2426_ESC_KO_firre_induced_240_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2426_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2426_read2.fastq.gz,JR2426_read1.fastq.gz,JR2426_read2.fastq.gz,a0030aace17b592d39073f016388346d,fcede5835d845090ece00932dc5f9869
JR2427,ESC,KO,firre_induced,60,1,1,short,2019-03,JR2427_ESC_KO_firre_induced_60_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2427_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2427_read2.fastq.gz,JR2427_read1.fastq.gz,JR2427_read2.fastq.gz,92b254f85f512808c47898b47787ac0a,dfbc783ade98dfb864ab3c61e443c04f
JR2428,ESC,KO,firre_induced,270,1,1,short,2019-03,JR2428_ESC_KO_firre_induced_270_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2428_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2428_read2.fastq.gz,JR2428_read1.fastq.gz,JR2428_read2.fastq.gz,178be2ae2b40426eb954bf509322b243,588e222b80fc4276ccf56876286e862c
JR2429,ESC,KO,firre_induced,180,1,1,short,2019-03,JR2429_ESC_KO_firre_induced_180_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2429_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2429_read2.fastq.gz,JR2429_read1.fastq.gz,JR2429_read2.fastq.gz,176852680f161e7f2c95072523f7f49b,401bb9ca100bbd959209851d0c0571e8
JR2430,ESC,KO,control,240,2,1,short,2019-03,JR2430_ESC_KO_control_240_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2430_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2430_read2.fastq.gz,JR2430_read1.fastq.gz,JR2430_read2.fastq.gz,59a40ee903aa878fb30231517f8478b9,526842cd5f67a63d4751c7ff84a7ea8d
JR2431,ESC,KO,control,270,2,1,short,2019-03,JR2431_ESC_KO_control_270_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2431_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2431_read2.fastq.gz,JR2431_read1.fastq.gz,JR2431_read2.fastq.gz,02911d3d3905f72b6fbe975797474ab0,b0b6a3e4b2b3bcc228800281a2038dcd
JR2432,ESC,KO,control,180,2,1,short,2019-03,JR2432_ESC_KO_control_180_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2432_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2432_read2.fastq.gz,JR2432_read1.fastq.gz,JR2432_read2.fastq.gz,c30f4ceec96544266bc1ac579824d2c2,62c0978d09d7dab68ad0240a0dfe8e75
JR2433,ESC,KO,control,300,2,1,short,2019-03,JR2433_ESC_KO_control_300_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2433_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2433_read2.fastq.gz,JR2433_read1.fastq.gz,JR2433_read2.fastq.gz,5351379467ec65c97c21816d641ad3a7,3dd3fd929067994f7c8ebb395575fc51
JR2434,ESC,KO,control,330,2,1,short,2019-03,JR2434_ESC_KO_control_330_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2434_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2434_read2.fastq.gz,JR2434_read1.fastq.gz,JR2434_read2.fastq.gz,7ea8b9232814cf30f80190d5335371f3,126363db30004f176b14c7fc443f7eb7
JR2435,ESC,KO,control,30,2,1,short,2019-03,JR2435_ESC_KO_control_30_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2435_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2435_read2.fastq.gz,JR2435_read1.fastq.gz,JR2435_read2.fastq.gz,cd79d3b55cbe001ca34f2c8655bfa216,e89966df28fbe6769765f86c51f43d38
JR2436,ESC,KO,firre_induced,240,2,1,short,2019-03,JR2436_ESC_KO_firre_induced_240_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2436_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2436_read2.fastq.gz,JR2436_read1.fastq.gz,JR2436_read2.fastq.gz,ffe8177660a026b489b3b43485e75373,78d784c9d6c29c192a55d4cb6ad3cebe
