sample_id,cell_type,genotype,firre_ko,contains_itg,firre_induced,timepoint,replicate,sample_name,experiment
JR2510,pMEFs,Firre KOiTg,KO,TRUE,TRUE,210m,1,Firre KOiTg1 210-1,short
JR2508,pMEFs,Firre KOiTg,KO,TRUE,TRUE,240m,1,Firre KOiTg1 240-1,short
JR2507,pMEFs,Firre KOiTg,KO,TRUE,TRUE,270m,1,Firre KOiTg1 270-1,short
JR2511,pMEFs,Firre KOiTg,KO,TRUE,TRUE,300m,1,Firre KOiTg1 300-1,short
JR2505,pMEFs,Firre KOiTg,KO,TRUE,TRUE,330m,1,Firre KOiTg1 330-1,short
JR2102,mESCs,Firre WTiTg,WT,TRUE,TRUE,0m,1,A49_mESCs_Firre iTg 0-1,short
JR2103,mESCs,Firre WTiTg,WT,TRUE,TRUE,30m,1,A52_mESCs_Firre iTg 30-1,short
JR2104,mESCs,Firre WTiTg,WT,TRUE,TRUE,60m,1,A55_mESCs_Firre iTg 60-1,short
JR2105,mESCs,Firre WTiTg,WT,TRUE,TRUE,90m,1,A58_mESCs_Firre iTg 90-1,short
JR2106,mESCs,Firre WTiTg,WT,TRUE,TRUE,120m,1,A61_mESCs_Firre iTg 120-1,short
JR2107,mESCs,Firre WTiTg,WT,TRUE,TRUE,150m,1,A64_mESCs_Firre iTg 150-1,short
JR2108,mESCs,Firre WTiTg,WT,TRUE,TRUE,180m,1,A67_mESCs_Firre iTg 180-1,short
JR2109,mESCs,Firre WTiTg,WT,TRUE,TRUE,210m,1,A70_mESCs_Firre iTg 210-1,short
JR2110,mESCs,Firre WTiTg,WT,TRUE,TRUE,240m,1,A73_mESCs_Firre iTg 240-1,short
JR2111,mESCs,Firre WTiTg,WT,TRUE,TRUE,270m,1,A76_mESCs_Firre iTg 270-1,short
JR2112,mESCs,Firre WTiTg,WT,TRUE,TRUE,300m,1,A79_mESCs_Firre iTg 300-1,short
JR2113,mESCs,Firre WTiTg,WT,TRUE,TRUE,330m,1,A82_mESCs_Firre iTg 330-1,short
JR2114,mESCs,Firre WTiTg,WT,TRUE,TRUE,0m,2,A50_mESCs_Firre iTg 0-2,short
JR2115,mESCs,Firre WTiTg,WT,TRUE,TRUE,30m,2,A53_mESCs_Firre iTg 30-2,short
JR2116,mESCs,Firre WTiTg,WT,TRUE,TRUE,60m,2,A56_mESCs_Firre iTg 60-2,short
JR2117,mESCs,Firre WTiTg,WT,TRUE,TRUE,90m,2,A59_mESCs_Firre iTg 90-2,short
JR2118,mESCs,Firre WTiTg,WT,TRUE,TRUE,120m,2,A62_mESCs_Firre iTg 120-2,short
JR2119,mESCs,Firre WTiTg,WT,TRUE,TRUE,150m,2,A65_mESCs_Firre iTg 150-2,short
JR2120,mESCs,Firre WTiTg,WT,TRUE,TRUE,180m,2,A68_mESCs_Firre iTg 180-2,short
JR2121,mESCs,Firre WTiTg,WT,TRUE,TRUE,210m,2,A71_mESCs_Firre iTg 210-2,short
JR2122,mESCs,Firre WTiTg,WT,TRUE,TRUE,240m,2,A74_mESCs_Firre iTg 240-2,short
JR2123,mESCs,Firre WTiTg,WT,TRUE,TRUE,270m,2,A77_mESCs_Firre iTg 270-2,short
JR2124,mESCs,Firre WTiTg,WT,TRUE,TRUE,300m,2,A80_mESCs_Firre iTg 300-2,short
JR2125,mESCs,Firre WTiTg,WT,TRUE,TRUE,330m,2,A83_mESCs_Firre iTg 330-2,short
JR2706,mESCs,Firre WT,WT,FALSE,FALSE,96h,2,Firre WT 96h-2,long
JR2707,mESCs,Firre WT,WT,FALSE,FALSE,0h,3,Firre WT 0h-3,long
JR2708,mESCs,Firre WT,WT,FALSE,FALSE,0h,1,Firre WT 0h-1,long
JR2709,mESCs,Firre WT,WT,TRUE,TRUE,96h,3,Firre WTiTg 96h-3,long
JR2710,mESCs,Firre WT,WT,FALSE,FALSE,0h,2,Firre WT 0h-2,long
JR2711,mESCs,Firre WT,WT,TRUE,TRUE,0h,1,Firre WTiTg 0h-1,long
JR2712,mESCs,Firre WT,WT,TRUE,TRUE,96h,1,Firre WTiTg 96h-1,long
JR2713,mESCs,Firre WT,WT,TRUE,TRUE,96h,2,Firre WTiTg 96h-2,long
JR2714,mESCs,Firre WT,WT,TRUE,TRUE,0h,3,Firre WTiTg 0h-3,long
JR2715,mESCs,Firre WT,WT,FALSE,FALSE,96h,1,Firre WT 96h-1,long
JR2716,mESCs,Firre WT,WT,FALSE,FALSE,96h,3,Firre WT 96h-3,long
JR2717,mESCs,Firre WT,WT,TRUE,TRUE,0h,2,Firre WTiTg 0h-2,long
JR2718,mESCs,Firre KO,KO,TRUE,TRUE,96h,2,Firre KOiTg 96h-2,long
JR2719,mESCs,Firre KO,KO,TRUE,FALSE,96h,3,Firre KO 96h-3,long
JR2720,mESCs,Firre KO,KO,TRUE,FALSE,0h,3,Firre KO 0h-3,long
JR2721,mESCs,Firre KO,KO,TRUE,FALSE,96h,1,Firre KO 96h-1,long
JR2722,mESCs,Firre KO,KO,TRUE,FALSE,0h,2,Firre KO 0h-2,long
JR2723,mESCs,Firre KO,KO,TRUE,TRUE,0h,3,Firre KOiTg 0h-3,long
JR2724,mESCs,Firre KO,KO,TRUE,TRUE,0h,2,Firre KOiTg 0h-2,long
JR2725,mESCs,Firre KO,KO,TRUE,TRUE,96h,1,Firre KOiTg 96h-1,long
JR2726,mESCs,Firre KO,KO,TRUE,TRUE,0h,1,Firre KOiTg 0h-1,long
